user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"As a home baker interested in advanced techniques, how is 椰浆 (coconut milk) used in the provided recipe, and what is its quantity per serving?",['## 计算  \n每次制作前需要确定计划做几份。一份正好够 1 个人食用  \n总量：  \n- 肉蟹 1 只（大约 300g） * 份数\n- 咖喱块 15g（一小块）*份数\n- 椰浆 100ml*份数\n- 鸡蛋 1 个 *份数\n- 洋葱 200g *份数\n- 大蒜 5 瓣 *份数'],"In the recipe, 椰浆 (coconut milk) is used at a quantity of 100ml per serving.",Akira Tanaka,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"As a health-conscious home cook looking to learn new, impressive recipes, how should I prepare and use 大蒜 (garlic) when making this crab curry dish?",['## 操作  \n- 肉蟹掀盖后对半砍开，蟹钳用刀背轻轻拍裂，切口和蟹钳蘸一下生粉，不要太多。撒 5g 生粉到蟹盖中，盖住蟹黄，备用\n- 洋葱切成洋葱碎，备用\n- 大蒜切碎，备用\n- 烧一壶开水，备用\n- 起锅烧油，倒入约 20ml 食用油，等待 10 秒让油温升高\n- 将螃蟹切口朝下，轻轻放入锅中，煎 20 秒，这一步主要是封住蟹黄，蟹肉。然后翻面，每面煎 10 秒。煎完将螃蟹取出备用\n- 将螃蟹盖放入锅中，使用勺子舀起锅中热油泼到蟹盖中，煎封住蟹盖中的蟹黄，煎 20 秒后取出备用\n- 不用刷锅，再倒入 10ml 食用油，大火让油温升高至轻微冒烟，将大蒜末，洋葱碎倒入，炒 10 秒钟\n- 将咖喱块放入锅中炒化（10 秒），放入煎好的螃蟹，翻炒均匀\n- 倒入开水 300ml，焖煮 3 分钟。\n- 焖煮完后，倒入椰浆和蛋清，关火，关火后不断翻炒，一直到酱汁变浓稠。\n- 出锅'],"大蒜 should be cut into pieces (切碎) and set aside. After frying the crab and removing it from the pan, add 10ml of cooking oil to the same pan and heat it until it smokes slightly. Then, add the prepared 大蒜末 (garlic pieces) along with onion pieces and stir-fry for 10 seconds.",Health-Conscious Home Cook,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
"I'm trying to make a healthy fish dish and the recipe calls for '青葱', but I'm not sure what that is or how to use it. Can you explain what '青葱' is and its role in the recipe?",['## 必备原料和工具  \n原料：  \n- 黑鳕鱼，带皮  \n调味料：  \n- 青葱\n- 姜\n- 料酒\n- 酱油\n- 芝麻油\n- 花生油  \n工具：  \n- 密封袋'],青葱 is listed as a seasoning ingredient for the dish.,Health-Conscious Home Cook,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"As a health-conscious home cook trying to learn new recipes, I'm curious about why some recipes for cooking 鱼类, like braised carp, call for adding pork belly. Can you explain the reasons behind this combination?",['## 附加内容  \n基于下列原因，需要在红烧鲤鱼中添加五花肉：  \n- 五花肉煸炒的时候会出猪油，相比较于植物油，动物油脂更香。\n- 煸炒至金黄的五花肉炖煮过后吃起来也很香的，相当于配菜。\n- 鱼类本身脂肪含量少，所以香味欠缺，着重的是肉质的口感。所以一般做鱼类菜都建议用猪油，想要一锅奶白香醇的鱼汤。猪油是最好的选择~'],"Based on the provided context, there are three reasons for adding pork belly to braised carp: 1) When stir-fried, pork belly releases lard, and animal fat is more fragrant compared to vegetable oil. 2) Pork belly stir-fried until golden brown remains tasty after stewing, acting like a side dish. 3) Fish itself has low fat content, so it lacks fragrance and instead focuses on the texture of the meat. Therefore, it is generally recommended to use lard when cooking fish dishes; if you want a pot of milky white and mellow fish soup, lard is the best choice.",Health-Conscious Home Cook,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"Hey, I'm trying to make a really good breakfast and I got this fresh 吐司, but I'm not sure what all the stuff I need is or how to use it, can you tell me the full list of things I gotta have and the tools?",['## 必备原料和工具  \n- 新鲜吐司\n- 果酱\n- 面包机'],"The required ingredients and tools are fresh吐司, jam, and a bread machine.",Akira Tanaka,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"As an amateur home baker, why is a 30°C water bath listed as an essential tool for this recipe?",['## 必备原料和工具  \n- 新鲜鸡蛋（推荐 AA 级）\n- 100°C 沸水锅（直径≥ 15cm）\n- 30°C 温水锅（直径≥ 15cm）\n- 定时器\n- 漏勺'],"A 30°C water bath is listed as an essential tool, requiring a pot with a diameter of at least 15cm.",Amateur Home Baker,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"If Akira Tanaka want make beef stew, how he calculate recipe and do the 炖煮?","['<1-hop>\n\n## 操作  \n- 牛肉浸泡 4-6 小时，加料酒、姜片，去除血水\n- 牛肉切成 8cm，不超过 10cm 的肉块\n- 牛肉放入锅中，加入冷水至水面没过牛肉，开锅至水沸腾开始计时，3 分钟后停火，捞出牛肉，用温水洗净\n- 将洗净后的牛肉放入砂锅或炖锅，加水没过牛肉，开大火，放入除盐之外的其他配料。\n- 水开之后，大火转为小火，持续加热 90 分钟，加盐\n- 加盐后，继续小火 90 分钟（注：每 30 分钟确认水位线，要求至少达到牛肉面高度的 80%）\n- 加热 180 分钟后，捞出牛肉，自然冷却，切片\n- 上桌食用，其他牛肉建议不切片冷藏。', '<2-hop>\n\n### 收汁  \n- 在炖煮期间调制水淀粉。取碗 1 个，加入 1 汤匙淀粉，100ml 水，搅拌使其成为白色悬浊液\n- 炖煮时间结束后，打开高压锅锅盖，捡出锅中所有的配料，只保留猪肘。\n- 将高压锅中剩余的肉汤转移至铁锅内，猪肘转移至盘子或盆内\n- 将铁锅置于灶台上，开大火。在收汁过程中可以用筷子头蘸取锅内汤汁判断咸淡，并根据口味添加盐。注意，汤汁多的时候味道会比汤汁少的时候味道更淡，加入盐时需要考虑这一点。\n- 当肉汤沸腾时，注意观察剩余肉汤余量\n- 当剩余肉汤少于原肉汤体积的 1/2 时，再次搅拌之前调制好的水淀粉，并加入一半\n- 等待肉汤沸腾，加入剩下的一半\n- 等待肉汤沸腾，沸腾后等待 1-2 分钟关火，此时锅内的肉汤呈红棕色粘稠状\n- 用汤匙舀起肉汤均匀地淋在猪肘上，尽量使猪肘的每一处都淋到汤汁。如果在猪肘被完全淋到前汤汁已经用完则可直接上桌，否则剩余汤汁不需要再淋，可直接上桌。', '<3-hop>\n\n## 计算  \n对于一人份（三小碗）的情况，一份的分量是：  \n- 饮用水 1 L\n- 大米 50 g\n- 糯米 50 g\n- 薏米 50 g\n- 黑米 50 g\n- 小米 50 g\n- 莲子 25 g\n- 绿豆 25 g\n- 红豆 25 g\n- 花生 25 g\n- 黄豆 25 g\n- 豌豆 25 g\n- 红枣 25 g\n- 桂圆 25 g\n- 栗子 25 g\n- 去壳核桃 25 g\n- 葡萄干 25 g\n- 红腰豆 25 g\n- 冰糖 10~25 g  \n以上原料分量可以按照自己的口味偏好适当调整，对于米类，不建议超过 150 g ，对于其他豆类，不建议超过 50 g 。']","To make the beef stew, the recipe calculation for ingredients is not provided in the beef preparation context. For the 炖煮 (stewing) process, based on the beef preparation steps: after soaking and blanching the beef, it is placed in a pot with water and other ingredients (except salt). After boiling, the heat is reduced to a simmer for 90 minutes, then salt is added, followed by another 90 minutes of simmering, for a total cooking time of 180 minutes. The specific收汁 (sauce reduction) steps described involve using a starch slurry, but those are detailed in a separate context for preparing a pig's knuckle, not the beef stew.",,,,multi_hop_abstract_query_synthesizer
"How can the technique of 收汁 (reducing sauce) from the pork knuckle recipe be applied to enhance the final texture and flavor of the 柱候牛腩 (Zhuhou Beef Brisket) dish, considering the recipe's complexity and the goal of achieving a richer sauce?","['<1-hop>\n\n# 柱候牛腩的做法  \n![柱候牛腩成品](./柱候牛腩.jpeg)\n![柱候牛腩搭配米饭](./柱候牛腩配米饭.jpeg)  \n肉香味美，色泽诱人，滋补强壮，口感甚佳，令人垂涎的广式菜肴。有高压锅只需 1 个小时，否则需要炖煮 3 个小时。  \n预估烹饪难度：★★★★', '<2-hop>\n\n### 稍加复杂但是更加令人垂涎欲滴的版本  \n相较于简单版本，这里更加推荐使用二荆条与生花生。并且加入了莴笋陪衬花生的香脆与鸡肉的松软  \n- 莴笋去皮切至 1cm 见方的小块，备用；\n- 二荆条切成 1cm 长段；\n- 手枪腿用剪刀去骨，鸡肉面用刀背拍打一遍，切条后切至 1.5cm 见方肉丁；泡于清水 10 分钟，捞出控干备用（若是鸡胸脯肉，则可以直接进行切丁以及之后的动作）；\n- 取大葱葱绿与姜片 5g 于碗中，倒入 50g 开水备用；葱白切 1.5cm 圆粒备用\n- 鸡丁中加入盐 2g，老抽酱油 5g，料酒 15g，淀粉 15g 搅拌均匀，至微微发干；缓慢加入部分葱姜水，搅拌鸡丁至粘手；保鲜膜密封，放入冰箱腌制 1 小时\n- 转中火，倒入 20g 植物油，放入生花生翻炒至其表面微微焦糊，捞起花生但是油留在锅内；\n- 继续加热，7 成热（竹筷子起泡）下入鸡丁，放入豆瓣酱，翻炒大概 1 分钟；\n- 加入备好的莴笋丁，继续翻炒 1 分钟；\n- 下入葱粒翻炒，加入余下葱姜水不够 100g 再加一点清水（务必是热水）；加入二荆条段；盖上锅盖，转中小火焖 2 分钟；\n- 转大火，下入先前捞起来备用的花生，花椒；加入鸡精 2g，香醋 5g，白糖 2g，翻炒均匀；\n- 淀粉 10g 加 50g 清水调成水淀粉，加入锅中，翻炒均匀，收汁到自己想要的浓度\n- 关火，淋入芝麻油 10g 与油泼辣子 5g 再翻炒 10s，即可出锅  \n![宫保鸡丁](./宫保鸡丁.jpg)', '<3-hop>\n\n### 收汁  \n- 在炖煮期间调制水淀粉。取碗 1 个，加入 1 汤匙淀粉，100ml 水，搅拌使其成为白色悬浊液\n- 炖煮时间结束后，打开高压锅锅盖，捡出锅中所有的配料，只保留猪肘。\n- 将高压锅中剩余的肉汤转移至铁锅内，猪肘转移至盘子或盆内\n- 将铁锅置于灶台上，开大火。在收汁过程中可以用筷子头蘸取锅内汤汁判断咸淡，并根据口味添加盐。注意，汤汁多的时候味道会比汤汁少的时候味道更淡，加入盐时需要考虑这一点。\n- 当肉汤沸腾时，注意观察剩余肉汤余量\n- 当剩余肉汤少于原肉汤体积的 1/2 时，再次搅拌之前调制好的水淀粉，并加入一半\n- 等待肉汤沸腾，加入剩下的一半\n- 等待肉汤沸腾，沸腾后等待 1-2 分钟关火，此时锅内的肉汤呈红棕色粘稠状\n- 用汤匙舀起肉汤均匀地淋在猪肘上，尽量使猪肘的每一处都淋到汤汁。如果在猪肘被完全淋到前汤汁已经用完则可直接上桌，否则剩余汤汁不需要再淋，可直接上桌。']","The technique of 收汁 (reducing sauce) from the pork knuckle recipe can be applied to the 柱候牛腩 dish to enhance its final texture and flavor by creating a rich, thick, and glossy sauce. After the beef brisket is finished cooking (which takes 1 hour in a pressure cooker or 3 hours of stewing), the remaining broth should be transferred to a wok or pot. The broth is then boiled over high heat to reduce its volume. When the broth is reduced to less than half its original volume, a pre-mixed water and cornstarch slurry (water starch) is added in two stages, allowing the sauce to thicken into a red-brown, sticky consistency after boiling for 1-2 minutes. This thickened sauce is then evenly ladled over the beef brisket, coating it to achieve a more concentrated flavor and a visually appealing, glossy finish, thereby enhancing the overall complexity and richness of the dish.",,,,multi_hop_abstract_query_synthesizer
What cooking technique is used to thicken the sauce for the pork knuckle and how does it relate to the general cooking instructions for avoiding burnt porridge?,"['<1-hop>\n\n## 附加内容  \n- 往粥锅加入食材时，应当进行搅拌，使食材原料均匀分布在各处，并注意观察水位线，如发现水位线低于米线及食材应立即补水。\n- 注意控制火候，不要过大，定时搅拌。如果使用普通锅，建议烧开水后再下原料，搅拌到再次烧开改小火，避免锅底烧糊。如果有条件，建议改用高压锅或粥锅。\n- 参考资料：[全网最正宗腊八粥做法，香甜软糯一次成功！\\_哔哩哔哩\\_bilibili](https://www.bilibili.com/video/BV1Mt411H7by/?spm_id_from=333.1391.0.0&vd_source=2a1baf3b15cd0eb7f9396b4ad2708e44) 、 [腊八粥（在腊八节用多种食材熬制的粥）_百度百科](https://baike.baidu.com/item/腊八粥/27200)', '<2-hop>\n\n### 收汁  \n- 在炖煮期间调制水淀粉。取碗 1 个，加入 1 汤匙淀粉，100ml 水，搅拌使其成为白色悬浊液\n- 炖煮时间结束后，打开高压锅锅盖，捡出锅中所有的配料，只保留猪肘。\n- 将高压锅中剩余的肉汤转移至铁锅内，猪肘转移至盘子或盆内\n- 将铁锅置于灶台上，开大火。在收汁过程中可以用筷子头蘸取锅内汤汁判断咸淡，并根据口味添加盐。注意，汤汁多的时候味道会比汤汁少的时候味道更淡，加入盐时需要考虑这一点。\n- 当肉汤沸腾时，注意观察剩余肉汤余量\n- 当剩余肉汤少于原肉汤体积的 1/2 时，再次搅拌之前调制好的水淀粉，并加入一半\n- 等待肉汤沸腾，加入剩下的一半\n- 等待肉汤沸腾，沸腾后等待 1-2 分钟关火，此时锅内的肉汤呈红棕色粘稠状\n- 用汤匙舀起肉汤均匀地淋在猪肘上，尽量使猪肘的每一处都淋到汤汁。如果在猪肘被完全淋到前汤汁已经用完则可直接上桌，否则剩余汤汁不需要再淋，可直接上桌。', '<3-hop>\n\n## 附加内容  \n- 烤制时可以将鸡肉淋上蜂蜜或其他烤肉酱提升口感\n- 烤箱预热至 180 度，烤制时间根据鸡肉的大小和厚度而定，需确保鸡肉熟透\n- 鸡肉必须全熟才能吃，吃未全熟的鸡肉可能会导致食物中毒和感染细菌，如沙门氏菌和福氏杆菌等。']","The cooking technique used to thicken the sauce for the pork knuckle is 收汁 (reducing the sauce), which involves adding a water-starch mixture to the boiling meat broth to create a thick, red-brown, sticky sauce. This relates to the general cooking instructions for avoiding burnt porridge, which emphasize controlling the heat, stirring regularly, and adding water if the water level falls below the ingredients to prevent the bottom from burning.",,,,multi_hop_abstract_query_synthesizer
"How do I calculate the ingredients for making 瘦肉土豆片 for 3 people, and what is the final step of 收汁 to achieve the right sauce consistency?","['<1-hop>\n\n# 瘦肉土豆片的做法  \n![示例菜成品](./瘦肉土豆片.jpg)  \n瘦肉土豆片是一道简单易做的菜。小炒家常菜，方便快速，适合上班族用于带饭必备小炒菜。一般初学者只需要 1 小时即可完成。  \n预估烹饪难度：★★★', '<2-hop>\n\n## 计算  \n每次制作前需要确定计划做几份。一份正好够 1 个人食用。  \n总量：  \n- 白豆腐的数量 = 份数 * 0.8 向上取整。\n- 辣椒的数量 = 1.5 只/三人。\n- 葱的数量 = 2 根/三人。\n- 盐量 = 份数 * 3g。\n- 鸡精量 = 份数 * 1.5g。  \n使用上述条件，计算出计划使用的原材料比例，依口味调整。', '<3-hop>\n\n### 收汁  \n- 在炖煮期间调制水淀粉。取碗 1 个，加入 1 汤匙淀粉，100ml 水，搅拌使其成为白色悬浊液\n- 炖煮时间结束后，打开高压锅锅盖，捡出锅中所有的配料，只保留猪肘。\n- 将高压锅中剩余的肉汤转移至铁锅内，猪肘转移至盘子或盆内\n- 将铁锅置于灶台上，开大火。在收汁过程中可以用筷子头蘸取锅内汤汁判断咸淡，并根据口味添加盐。注意，汤汁多的时候味道会比汤汁少的时候味道更淡，加入盐时需要考虑这一点。\n- 当肉汤沸腾时，注意观察剩余肉汤余量\n- 当剩余肉汤少于原肉汤体积的 1/2 时，再次搅拌之前调制好的水淀粉，并加入一半\n- 等待肉汤沸腾，加入剩下的一半\n- 等待肉汤沸腾，沸腾后等待 1-2 分钟关火，此时锅内的肉汤呈红棕色粘稠状\n- 用汤匙舀起肉汤均匀地淋在猪肘上，尽量使猪肘的每一处都淋到汤汁。如果在猪肘被完全淋到前汤汁已经用完则可直接上桌，否则剩余汤汁不需要再淋，可直接上桌。']","To calculate ingredients for 3 people: the amount of white tofu is (3 * 0.8) rounded up, the amount of chili is 1.5 pieces, the amount of green onion is 2 roots, the amount of salt is 3 * 3g = 9g, and the amount of chicken essence is 3 * 1.5g = 4.5g. The final step of 收汁 involves, after the meat soup has boiled and reduced to less than half its original volume, adding half of a pre-mixed water-starch slurry, waiting for it to boil, adding the remaining half, boiling it again for 1-2 minutes until the sauce is a reddish-brown, thick consistency, and then spooning it evenly over the pork knuckle.",,,,multi_hop_abstract_query_synthesizer
